Scenario,Latent Dimension,Learning Rate,Number of Epochs,MAPE
S1,5,0.0001,50,1.1041805
S2,5,0.0001,100,0.81603587
S3,5,0.0001,150,0.7491192
S4,5,0.0001,200,2.6773412
S5,5,0.0005,50,1.1527771
S6,5,0.0005,100,1.5783379
S7,5,0.0005,150,1.0508565
S8,5,0.0005,200,1.686103
S9,5,0.001,50,1.6132429
S10,5,0.001,100,1.3000622
S11,5,0.001,150,2.4550362
S12,5,0.001,200,2.5537763
S13,10,0.0001,50,0.699085
S14,10,0.0001,100,0.80993956
S15,10,0.0001,150,0.90940905
S16,10,0.0001,200,1.0825918
S17,10,0.0005,50,1.8501621
S18,10,0.0005,100,1.1736972
S19,10,0.0005,150,1.5655301
S20,10,0.0005,200,1.9568567
S21,10,0.001,50,1.8330648
S22,10,0.001,100,1.4661279
S23,10,0.001,150,1.2579515
S24,10,0.001,200,1.5973217
S25,30,0.0001,50,0.86626387
S26,30,0.0001,100,2.026729
S27,30,0.0001,150,3.9640017
S28,30,0.0001,200,2.0589354
S29,30,0.0005,50,3.210855
S30,30,0.0005,100,1.9805707
S31,30,0.0005,150,1.162498
S32,30,0.0005,200,2.6068285
S33,30,0.001,50,1.9686644
S34,30,0.001,100,1.7392908
S35,30,0.001,150,1.6925697
S36,30,0.001,200,1.9527501
